NomFichier,Chemin,Temps;;;NomFicher;Chemin;Temps(ns);Temps(ms)
./Graphes/Graphe1.txt,1-10,4019700;;;./Graphes/Graphe1.txt;1-10;4019700;4,0197
./Graphes/Graphe2.txt,1-10,4046600;;;./Graphes/Graphe2.txt;1-10;4046600;4,0466
./Graphes/Graphe4.txt,1-10,3925700;;;./Graphes/Graphe4.txt;1-10;3925700;3,9257
./Graphes/Graphe11.txt,1-10,4016100;;;./Graphes/Graphe11.txt;1-10;4016100;4,0161
./Graphes/Graphe12.txt,1-10,3856200;;;./Graphes/Graphe12.txt;1-10;3856200;3,8562
./Graphes/Graphe13.txt,1-10,4696400;;;./Graphes/Graphe13.txt;1-10;4696400;4,6964
./Graphes/Graphe21.txt,1-10,4436400;;;./Graphes/Graphe21.txt;1-10;4436400;4,4364
./Graphes/Graphe22.txt,1-10,4547300;;;./Graphes/Graphe22.txt;1-10;4547300;4,5473
./Graphes/Graphe23.txt,1-10,4496900;;;./Graphes/Graphe23.txt;1-10;4496900;4,4969
./Graphes/Graphe31.txt,1-10,5391500;;;./Graphes/Graphe31.txt;1-10;5391500;5,3915
./Graphes/Graphe32.txt,1-10,5927700;;;./Graphes/Graphe32.txt;1-10;5927700;5,9277
./Graphes/Graphe33.txt,1-10,4438300;;;./Graphes/Graphe33.txt;1-10;4438300;4,4383
./Graphes/Graphe41.txt,1-10,4920800;;;./Graphes/Graphe41.txt;1-10;4920800;4,9208
./Graphes/Graphe42.txt,1-10,5997400;;;./Graphes/Graphe42.txt;1-10;5997400;5,9974
./Graphes/Graphe43.txt,1-10,5337900;;;./Graphes/Graphe43.txt;1-10;5337900;5,3379
./Graphes/Graphe51.txt,1-10,6724500;;;./Graphes/Graphe51.txt;1-10;6724500;6,7245
./Graphes/Graphe52.txt,1-10,5709000;;;./Graphes/Graphe52.txt;1-10;5709000;5,709
./Graphes/Graphe53.txt,1-10,5808700;;;./Graphes/Graphe53.txt;1-10;5808700;5,8087
./Graphes/Graphe61.txt,1-10,7100800;;;./Graphes/Graphe61.txt;1-10;7100800;7,1008
./Graphes/Graphe62.txt,1-10,5529100;;;./Graphes/Graphe62.txt;1-10;5529100;5,5291
./Graphes/Graphe63.txt,1-10,8519800;;;./Graphes/Graphe63.txt;1-10;8519800;8,5198
./Graphes/Graphe71.txt,1-10,7018100;;;./Graphes/Graphe71.txt;1-10;7018100;7,0181
./Graphes/Graphe72.txt,1-10,8687300;;;./Graphes/Graphe72.txt;1-10;8687300;8,6873
./Graphes/Graphe73.txt,1-10,6963600;;;./Graphes/Graphe73.txt;1-10;6963600;6,9636
./Graphes/Graphe81.txt,1-10,7067800;;;./Graphes/Graphe81.txt;1-10;7067800;7,0678
./Graphes/Graphe82.txt,1-10,7396600;;;./Graphes/Graphe82.txt;1-10;7396600;7,3966
./Graphes/Graphe83.txt,1-10,7807600;;;./Graphes/Graphe83.txt;1-10;7807600;7,8076
./Graphes/Graphe91.txt,1-10,7579900;;;./Graphes/Graphe91.txt;1-10;7579900;7,5799
./Graphes/Graphe92.txt,1-10,9500700;;;./Graphes/Graphe92.txt;1-10;9500700;9,5007
./Graphes/Graphe93.txt,1-10,8027300;;;./Graphes/Graphe93.txt;1-10;8027300;8,0273
./Graphes/Graphe101.txt,1-10,7509700;;;./Graphes/Graphe101.txt;1-10;7509700;7,5097
./Graphes/Graphe102.txt,1-10,7957900;;;./Graphes/Graphe102.txt;1-10;7957900;7,9579
./Graphes/Graphe103.txt,1-10,10309600;;;./Graphes/Graphe103.txt;1-10;10309600;10,3096
./Graphes/Graphe201.txt,1-10,13398000;;;./Graphes/Graphe201.txt;1-10;13398000;13,398
./Graphes/Graphe202.txt,1-10,13299800;;;./Graphes/Graphe202.txt;1-10;13299800;13,2998
./Graphes/Graphe203.txt,1-10,14503900;;;./Graphes/Graphe203.txt;1-10;14503900;14,5039
./Graphes/Graphe301.txt,1-10,21705300;;;./Graphes/Graphe301.txt;1-10;21705300;21,7053
./Graphes/Graphe302.txt,1-10,19997800;;;./Graphes/Graphe302.txt;1-10;19997800;19,9978
./Graphes/Graphe303.txt,1-10,21310600;;;./Graphes/Graphe303.txt;1-10;21310600;21,3106
./Graphes/Graphe401.txt,1-10,29416200;;;./Graphes/Graphe401.txt;1-10;29416200;29,4162
./Graphes/Graphe402.txt,1-10,28128000;;;./Graphes/Graphe402.txt;1-10;28128000;28,128
./Graphes/Graphe403.txt,1-10,28193900;;;./Graphes/Graphe403.txt;1-10;28193900;28,1939
./Graphes/Graphe501.txt,1-10,37830300;;;./Graphes/Graphe501.txt;1-10;37830300;37,8303
./Graphes/Graphe601.txt,1-10,49200700;;;./Graphes/Graphe601.txt;1-10;49200700;49,2007
./Graphes/Graphe701.txt,1-10,56464600;;;./Graphes/Graphe701.txt;1-10;56464600;56,4646
./Graphes/Graphe801.txt,1-10,68572800;;;./Graphes/Graphe801.txt;1-10;68572800;68,5728
./Graphes/Graphe901.txt,1-10,77663100;;;./Graphes/Graphe901.txt;1-10;77663100;77,6631
./Graphes/Graphe902.txt,1-10,77862900;;;./Graphes/Graphe902.txt;1-10;77862900;77,8629
./Graphes/Graphe903.txt,1-10,79152300;;;./Graphes/Graphe903.txt;1-10;79152300;79,1523
